frame_idx,session_index,target_range_m,music_m,music_abs_err_m,esprit_m,esprit_abs_err_m,cnn_m,cnn_abs_err_m
0,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0433127880096436,0.5433127880096436
1,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0386888980865479,0.5386888980865479
2,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0378962755203247,0.5378962755203247
3,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0397902727127075,0.5397902727127075
4,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0456982851028442,0.5456982851028442
5,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0494105815887451,0.5494105815887451
6,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0527806282043457,0.5527806282043457
7,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0532138347625732,0.5532138347625732
8,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0467000007629395,0.5467000007629395
9,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0423648357391357,0.5423648357391357
10,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.039501667022705,0.5395016670227051
11,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0372436046600342,0.5372436046600342
12,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0418813228607178,0.5418813228607178
13,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0501347780227661,0.5501347780227661
14,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0524433851242065,0.5524433851242065
15,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.051262617111206,0.551262617111206
16,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0445960760116577,0.5445960760116577
17,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0406603813171387,0.5406603813171387
18,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0389556884765625,0.5389556884765625
19,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0393812656402588,0.5393812656402588
20,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.04398775100708,0.5439877510070801
21,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.048198938369751,0.548198938369751
22,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.05196213722229,0.55196213722229
23,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0502336025238037,0.5502336025238037
24,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0464975833892822,0.5464975833892822
25,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0412794351577759,0.5412794351577759
26,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0389456748962402,0.5389456748962402
27,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0415676832199097,0.5415676832199097
28,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0453068017959595,0.5453068017959595
29,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0499507188796997,0.5499507188796997
30,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0514215230941772,0.5514215230941772
