sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,rmse_xy_m
0,0,0,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
1,0,1,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
2,0,2,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
3,0,3,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
4,0,4,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
5,0,5,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
6,0,6,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
7,0,7,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
8,0,8,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
9,0,9,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
10,0,10,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
11,0,11,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
12,0,12,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
13,0,13,-1.0,-1.0,-3.517012810591069,-0.16425154197534753,3.96728515625,1.52587890625,2.652136680823622
14,0,14,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
15,0,15,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
16,0,16,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
17,0,17,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
18,0,18,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
19,0,19,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
20,0,20,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
21,0,21,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
22,0,22,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
23,0,23,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
24,0,24,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
25,0,25,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
26,0,26,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
27,0,27,-1.0,-1.0,-3.517012810591069,-0.16425154197534753,3.96728515625,1.52587890625,2.652136680823622
28,0,28,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
29,0,29,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
30,0,30,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
31,0,31,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
32,0,32,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
33,0,33,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
34,0,34,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
35,0,35,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
36,0,36,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
37,0,37,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
38,0,38,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
39,0,39,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
40,0,40,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
41,0,41,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
42,0,42,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
43,0,43,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
44,0,44,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
45,0,45,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
46,0,46,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
47,0,47,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
48,0,48,-1.0,-1.0,-3.3701225375210693,0.09323328683024057,3.96728515625,1.373291015625,2.610103419847375
