exp_id,range_roi_m,checkpoint,run1_best_val_rmse_m,global_rmse_m,inner_rmse_m,outer_rmse_m,notes
baseline_roi5,0-5,models/cnn_deploy_strict/best_model.pth,0.6028,0.6623,0.4458,0.9344,previous default [0 5] bc64
deploy_strict_roi4,0-4,models/cnn_deploy_strict_roi4/best_model.pth,0.5982,0.6237,0.4264,0.8718,new default [0 4] bc64
