exp_id,description,center_weight,side_weight,corner_weight,geom_residual,geom_only,cross_attn,aux_range,aux_range_weight,trim_best_rmse,trim_best_frac,lr,label_jitter_m,feature_noise_std,spec_augment_prob,cpi_aug,cpi_amp_scale,cpi_complex_noise_std,feature_mode,feature_norm,backbone,session_smooth,session_smooth_alpha,early_stop_patience,checkpoint,global_rmse_m,inner_rmse_m,outer_rmse_m,output_csv
aug_noise_only,this_run + feature noise only (noise=0.05 spec=0),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.05,0.0,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aug_noise_only/best_model.pth,0.6255158868960988,0.39434343620149026,0.9161923108326956,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aug_noise_only/cnn_rmse.csv
cpi_aug_mild,this_run + raw CPI aug (amp=0.2 noise_rel=0.02),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,1,0.2,0.02,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/cpi_aug_mild/best_model.pth,0.5897922968123468,0.36590071712023975,0.8713137477415991,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/cpi_aug_mild/cnn_rmse.csv
cpi_aug_strong,this_run + raw CPI aug strong (amp=0.3 noise_rel=0.05),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,1,0.3,0.05,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/cpi_aug_strong/best_model.pth,0.599368982084845,0.3686034501648967,0.8895337460295375,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/cpi_aug_strong/cnn_rmse.csv
feat_complex_roi,aug_spec_only + feature_mode=complex_roi (reuse ckpt),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,complex_roi,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/feat_complex_roi/best_model.pth,0.6042078114929245,0.380652854605478,0.8853059926390334,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/feat_complex_roi/cnn_rmse.csv
feat_legacy_4ch,aug_spec_only + feature_mode=legacy_4ch,1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,legacy_4ch,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/feat_legacy_4ch/best_model.pth,0.6338994047621304,0.4107884495561855,0.9144392978396871,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/feat_legacy_4ch/cnn_rmse.csv
feat_real_imag_cnorm,aug_spec_only + real_imag RMS per-station norm,1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,rms,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/feat_real_imag_cnorm/best_model.pth,0.671448352270633,0.433347418622255,0.9708366562009577,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/feat_real_imag_cnorm/cnn_rmse.csv
arch_range_geom,"aug_spec_only + geom-only (range→交会, no Δxy)",1.0,3.0,3.0,0,1,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/arch_range_geom/best_model.pth,0.7399107027418613,0.5679436136132803,0.9561422578103207,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/arch_range_geom/cnn_rmse.csv
arch_session_median,aug_spec_only ckpt + session median smooth (eval only),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,none,cnn,median,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/arch_session_median/best_model.pth,0.580127997338506,0.3572409653775321,0.8603863291491868,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/arch_session_median/cnn_rmse.csv
arch_session_ema,aug_spec_only ckpt + session EMA smooth α=0.3 (eval only),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,none,cnn,ema,0.3,15,/home/lhp/projects/isac/models/cnn_improve_next/arch_session_ema/best_model.pth,0.5813853180558233,0.3580272978118796,0.8622358709092727,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/arch_session_ema/cnn_rmse.csv
arch_light_tf,"aug_spec_only + light late-fusion Transformer (d=64, 2L, 4H)",1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,none,transformer,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/arch_light_tf/best_model.pth,0.6653929447521543,0.41991149096753166,0.9740615205900934,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/arch_light_tf/cnn_rmse.csv
