exp_id,description,region_checkpoint,fine_checkpoint,n_aug_sessions,n_holdout_sessions,run1_val_acc,run1_best_epoch,holdout_top1_acc,holdout_top3_hit,holdout_global_rmse_topk_m,holdout_global_rmse_top1_m,n,eval_csv
r1_only_aug_neighbor,Run1-only aug_neighbor on Run2 90% holdout,/home/lhp/projects/isac/models/region_run2_zeroshot/region/aug_neighbor/best_model.pth,/home/lhp/projects/isac/models/two_stage_tune/fine/fine_lr1e4/best_model.pth,22,195,0.7163636363636363,43,0.2650864299761929,0.5557395714729324,0.6164983942037676,0.6594936057570489,9661,/home/lhp/projects/isac/models/region_run2_10pct/eval/r1_only_aug_neighbor/two_stage_rmse.csv
r1_plus_run2_10,finetune Run1+Run2_10pct_sess on same holdout,/home/lhp/projects/isac/models/region_run2_10pct/r1_plus_run2_10/best_model.pth,/home/lhp/projects/isac/models/two_stage_tune/fine/fine_lr1e4/best_model.pth,22,195,0.6777272727272727,1,0.25970396439292,0.5539799192630163,0.6267897968053091,0.6995009836569669,9661,/home/lhp/projects/isac/models/region_run2_10pct/eval/r1_plus_run2_10/two_stage_rmse.csv
