sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
72,1,22,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
73,1,23,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
74,1,24,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
75,1,25,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
76,1,26,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
77,1,27,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
78,1,28,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
79,1,29,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
80,1,30,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
81,1,31,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
82,1,32,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
83,1,33,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
84,1,34,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
85,1,35,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
86,1,36,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
87,1,37,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
88,1,38,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
89,1,39,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
90,1,40,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
91,1,41,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
92,1,42,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
93,1,43,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
94,1,44,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
95,1,45,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
96,1,46,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
97,1,47,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
98,1,48,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
99,1,49,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
100,2,0,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
101,2,1,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
102,2,2,-0.6,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
103,2,3,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
104,2,4,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
105,2,5,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
106,2,6,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
107,2,7,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
108,2,8,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
109,2,9,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
110,2,10,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
111,2,11,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
112,2,12,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
113,2,13,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
114,2,14,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
115,2,15,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
116,2,16,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
117,2,17,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
118,2,18,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
119,2,19,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
120,2,20,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
121,2,21,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
122,2,22,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
123,2,23,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
124,2,24,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
125,2,25,-0.6,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
126,2,26,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
127,2,27,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
128,2,28,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
129,2,29,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
130,2,30,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
131,2,31,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
132,2,32,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
133,2,33,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
134,2,34,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
135,2,35,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
136,2,36,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
137,2,37,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
138,2,38,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
139,2,39,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
140,2,40,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
141,2,41,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
142,2,42,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
143,2,43,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
144,2,44,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
145,2,45,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
146,2,46,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
147,2,47,-0.6,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
148,2,48,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
149,2,49,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
150,3,0,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
151,3,1,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
152,3,2,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
153,3,3,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
154,3,4,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
155,3,5,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
156,3,6,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
157,3,7,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
158,3,8,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
159,3,9,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
160,3,10,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
161,3,11,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
162,3,12,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
163,3,13,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
164,3,14,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
165,3,15,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
166,3,16,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
167,3,17,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
168,3,18,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
169,3,19,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
170,3,20,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
171,3,21,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
172,3,22,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
173,3,23,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
174,3,24,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
175,3,25,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
176,3,26,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
177,3,27,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
178,3,28,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
179,3,29,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
180,3,30,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
181,3,31,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
182,3,32,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
183,3,33,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
184,3,34,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
185,3,35,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
186,3,36,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
187,3,37,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
188,3,38,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
189,3,39,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
190,3,40,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
191,3,41,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
192,3,42,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
193,3,43,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
194,3,44,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
195,3,45,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
196,3,46,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
197,3,47,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
198,3,48,-0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
199,4,0,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
200,4,1,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
201,4,2,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
202,4,3,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
203,4,4,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
204,4,5,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
205,4,6,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
206,4,7,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
207,4,8,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
208,4,9,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
209,4,10,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
210,4,11,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
211,4,12,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
212,4,13,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
213,4,14,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
214,4,15,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
215,4,16,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
