sample_idx,position,velocity,true_range_m,true_radial_velocity_mps,est_range_m,est_radial_velocity_mps,rmse_range_m,rmse_radial_velocity_mps
0,"[4.38, -1.03, 0.50]","[-0.64, 2.84, 0.00]",12.73,-2.87,9.76,-0.00,2.97,2.87
1,"[4.16, -0.04, 0.50]","[-2.81, 0.67, 0.00]",11.81,-2.78,9.76,-2.34,2.05,0.43
