sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.36691898107528687,0.23996801674365997,1.3922328322051447
1,0,1,-1.0,-1.0,-0.37846314907073975,0.17032849788665771,1.3251327669440154
2,0,2,-1.0,-1.0,-0.40746957063674927,0.1615794599056244,1.3039782020402182
3,0,3,-1.0,-1.0,-0.4516715109348297,0.1482315957546234,1.2724385758887151
4,0,4,-1.0,-1.0,-0.3725304901599884,0.21681872010231018,1.369074791006791
5,0,5,-1.0,-1.0,-0.4017910659313202,0.17306295037269592,1.3167879914157328
6,0,6,-1.0,-1.0,-0.3383568525314331,0.1809404194355011,1.3536587194890037
7,0,7,-1.0,-1.0,-0.3830050528049469,0.20192252099514008,1.3510368282691405
8,0,8,-1.0,-1.0,-0.38837724924087524,0.15791907906532288,1.3095262436887791
9,0,9,-1.0,-1.0,-0.49246615171432495,0.11071224510669708,1.2211766041755083
10,0,10,-1.0,-1.0,-0.4336402118206024,0.16684874892234802,1.2970348540144405
11,0,11,-1.0,-1.0,-0.38514724373817444,0.1822405606508255,1.3325676925134955
12,0,12,-1.0,-1.0,-0.35220062732696533,0.17887137830257416,1.34513261569876
13,0,13,-1.0,-1.0,-0.4096134305000305,0.15354815125465393,1.2958509322869558
14,0,14,-1.0,-1.0,-0.3683359622955322,0.1888103485107422,1.3462055939771398
15,0,15,-1.0,-1.0,-0.4766530692577362,0.14268475770950317,1.256829529180061
16,0,16,-1.0,-1.0,-0.36324211955070496,0.2139035314321518,1.3707743730963633
17,0,17,-1.0,-1.0,-0.42190614342689514,0.1592051237821579,1.295356717669065
18,0,18,-1.0,-1.0,-0.43666040897369385,0.18278566002845764,1.3100890856680854
19,0,19,-1.0,-1.0,-0.2997308373451233,0.23467257618904114,1.4194341374500776
20,0,20,-1.0,-1.0,-0.41534659266471863,0.17189791798591614,1.3096428279834467
21,0,21,-1.0,-1.0,-0.34417271614074707,-0.01484408788383007,1.1834870499636436
22,0,22,-1.0,-1.0,-0.3591938018798828,0.19356568157672882,1.35470720814015
23,0,23,-1.0,-1.0,-0.4529167711734772,0.1195169985294342,1.246041078480002
24,0,24,-1.0,-1.0,-0.4210711419582367,0.16540375351905823,1.3012780376959607
25,0,25,-1.0,-1.0,-0.4213480055332184,0.11053309589624405,1.2522467359834804
26,0,26,-1.0,-1.0,-0.41894590854644775,0.15838074684143066,1.2959435990226673
27,0,27,-1.0,-1.0,-0.282747745513916,0.19696804881095886,1.3954151018387626
28,0,28,-1.0,-1.0,-0.3888452351093292,0.16003164649009705,1.311176405945095
29,0,29,-1.0,-1.0,-0.42211392521858215,0.15650415420532227,1.2928473127637472
30,0,30,-1.0,-1.0,-0.4229307472705841,0.16462735831737518,1.299756056414816
31,0,31,-1.0,-1.0,-0.4205288290977478,0.17747673392295837,1.3123407700885865
32,0,32,-1.0,-1.0,-0.32295843958854675,0.1282527893781662,1.315803796644465
33,0,33,-1.0,-1.0,-0.330312043428421,0.11169412732124329,1.2978234825651591
34,0,34,-1.0,-1.0,-0.41121459007263184,0.18163208663463593,1.3201979575457095
35,0,35,-1.0,-1.0,-0.37421169877052307,0.19325241446495056,1.3473909316089776
36,0,36,-1.0,-1.0,-0.3963615298271179,0.17650339007377625,1.322323572174279
37,0,37,-1.0,-1.0,-0.28852954506874084,0.16116109490394592,1.3617948805009599
38,0,38,-1.0,-1.0,-0.3924901783466339,0.1555488407611847,1.3055118945416861
39,0,39,-1.0,-1.0,-0.35817208886146545,0.18794980645179749,1.3502473144447715
40,0,40,-1.0,-1.0,-0.37438297271728516,0.18618793785572052,1.3410587193484362
41,0,41,-1.0,-1.0,-0.3237399458885193,0.03329656273126602,1.2349208263443903
42,0,42,-1.0,-1.0,-0.3533584773540497,0.1959468126296997,1.3595712697203524
43,0,43,-1.0,-1.0,-0.3335297107696533,0.24101588129997253,1.4086529253387896
44,0,44,-1.0,-1.0,-0.32649314403533936,0.218967467546463,1.3926568751735078
45,0,45,-1.0,-1.0,-0.40452826023101807,0.16281594336032867,1.306417816395838
46,0,46,-1.0,-1.0,-0.3993370532989502,0.19881708920001984,1.340879707094412
47,0,47,-1.0,-1.0,-0.3674911856651306,0.02474634349346161,1.2042310694856373
48,0,48,-1.0,-1.0,-0.3904358744621277,0.11064775288105011,1.2669281171883735
49,0,49,-1.0,-1.0,-0.29342904686927795,0.1464395970106125,1.3466871431041112
50,1,0,-0.8,-1.0,-0.333390474319458,0.2244197577238083,1.310316065901754
51,1,1,-0.8,-1.0,-0.31000423431396484,0.14180578291416168,1.2425040427646366
52,1,2,-0.8,-1.0,-0.3327457904815674,0.17960484325885773,1.268776608608643
53,1,3,-0.8,-1.0,-0.27876538038253784,-0.049299176782369614,1.0842128868236351
54,1,4,-0.8,-1.0,-0.34401872754096985,0.20550300180912018,1.2888585679600986
55,1,5,-0.8,-1.0,-0.3037562370300293,0.21093624830245972,1.3086727894089618
56,1,6,-0.8,-1.0,-0.27868932485580444,0.09707300364971161,1.2146332760781327
57,1,7,-0.8,-1.0,-0.32441484928131104,0.15862220525741577,1.2524322936189707
58,1,8,-0.8,-1.0,-0.315899133682251,0.20594292879104614,1.29948143359985
59,1,9,-0.8,-1.0,-0.24974866211414337,0.2067418247461319,1.3262738655484392
60,1,10,-0.8,-1.0,-0.30302923917770386,0.19461700320243835,1.2938661914791136
61,1,11,-0.8,-1.0,-0.2506086826324463,0.20683753490447998,1.3260043948845637
62,1,12,-0.8,-1.0,-0.27591729164123535,0.23187431693077087,1.3387221585953941
63,1,13,-0.8,-1.0,-0.31215161085128784,0.1633649468421936,1.2615126041130678
64,1,14,-0.8,-1.0,-0.31943613290786743,0.1708797663450241,1.2656622999800236
65,1,15,-0.8,-1.0,-0.4372035562992096,0.17695367336273193,1.2316010753502813
66,1,16,-0.8,-1.0,-0.3161240816116333,0.2058565616607666,1.299317494570327
67,1,17,-0.8,-1.0,-0.3800230324268341,0.19523996114730835,1.2668777439103471
68,1,18,-0.8,-1.0,-0.2859925627708435,0.3130725622177124,1.410093329952267
69,1,19,-0.8,-1.0,-0.35826531052589417,0.2502151429653168,1.325959064068183
70,1,20,-0.8,-1.0,-0.32689258456230164,0.13984762132167816,1.234132580549929
71,1,21,-0.8,-1.0,-0.2651638388633728,0.20438137650489807,1.3177952114540397
72,1,22,-0.8,-1.0,-0.23819155991077423,0.15947644412517548,1.2884154407009605
73,1,23,-0.8,-1.0,-0.40357571840286255,0.18478448688983917,1.2493464257021052
74,1,24,-0.8,-1.0,-0.3137624263763428,0.2172437310218811,1.3107666759250065
75,1,25,-0.8,-1.0,-0.43936434388160706,0.1797616332769394,1.2336513234363329
76,1,26,-0.8,-1.0,-0.3014519214630127,0.1784074604511261,1.2795289482695553
77,1,27,-0.8,-1.0,-0.35025763511657715,0.21460352838039398,1.2951949374225629
